id,title,description,complete,creation_date
251,Ir al supermercado,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2023-06-19 18:52:25
252,Enviar correo a Juan,Llevar el coche al taller para revisión,False,2024-03-18 18:52:25
253,Cocinar la cena,Enviar un correo electrónico sobre el proyecto,True,2024-06-02 18:52:25
254,Cocinar la cena,Revisar las últimas actualizaciones de Angular,True,2023-11-04 18:52:25
255,Limpiar la casa,Revisar las últimas actualizaciones de Angular,True,2023-12-19 18:52:25
256,Cocinar la cena,Programa una cita para el chequeo anual,False,2023-08-18 18:52:25
257,Limpiar la casa,Enviar un correo electrónico sobre el proyecto,True,2023-10-17 18:52:25
258,Revisar el coche,Programa una cita para el chequeo anual,False,2024-02-03 18:52:25
259,Estudiar Angular,Pagar las facturas de servicios públicos,False,2024-04-16 18:52:25
260,Limpiar la casa,"Limpiar la sala, cocina y baño",False,2023-08-19 18:52:25
261,Hacer ejercicio,Leer al menos un capítulo del libro,True,2023-07-30 18:52:25
262,Limpiar la casa,Revisar las últimas actualizaciones de Angular,True,2023-07-15 18:52:25
263,Cocinar la cena,Llevar el coche al taller para revisión,True,2024-02-29 18:52:25
264,Leer un libro,Compra los artículos de la lista,True,2023-08-10 18:52:25
265,Ir al supermercado,Enviar un correo electrónico sobre el proyecto,False,2024-06-05 18:52:25
266,Leer un libro,Enviar un correo electrónico sobre el proyecto,False,2024-06-10 18:52:25
267,Llamar al médico,Enviar un correo electrónico sobre el proyecto,True,2023-09-16 18:52:25
268,Ir al supermercado,Compra los artículos de la lista,False,2023-09-26 18:52:25
269,Limpiar la casa,Revisar las últimas actualizaciones de Angular,False,2023-10-19 18:52:25
270,Pagar las facturas,Revisar las últimas actualizaciones de Angular,False,2023-08-03 18:52:25
271,Limpiar la casa,Programa una cita para el chequeo anual,True,2024-05-13 18:52:25
272,Leer un libro,Revisar las últimas actualizaciones de Angular,True,2024-02-24 18:52:25
273,Llamar al médico,Leer al menos un capítulo del libro,False,2024-02-14 18:52:25
274,Ir al supermercado,Programa una cita para el chequeo anual,True,2023-11-14 18:52:25
275,Enviar correo a Juan,Revisar las últimas actualizaciones de Angular,True,2023-09-11 18:52:25
276,Revisar el coche,Leer al menos un capítulo del libro,False,2024-01-22 18:52:25
277,Enviar correo a Juan,Programa una cita para el chequeo anual,False,2024-05-16 18:52:25
278,Revisar el coche,Llevar el coche al taller para revisión,False,2023-06-14 18:52:25
279,Estudiar Angular,Revisar las últimas actualizaciones de Angular,False,2024-02-14 18:52:25
280,Limpiar la casa,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2023-07-29 18:52:25
281,Limpiar la casa,Leer al menos un capítulo del libro,True,2023-09-14 18:52:25
282,Ir al supermercado,Compra los artículos de la lista,False,2023-08-08 18:52:25
283,Revisar el coche,Enviar un correo electrónico sobre el proyecto,True,2023-08-16 18:52:25
284,Limpiar la casa,Revisar las últimas actualizaciones de Angular,True,2023-08-20 18:52:25
285,Limpiar la casa,Programa una cita para el chequeo anual,True,2023-06-20 18:52:25
286,Pagar las facturas,Llevar el coche al taller para revisión,True,2024-03-20 18:52:25
287,Hacer ejercicio,Leer al menos un capítulo del libro,False,2023-08-07 18:52:25
288,Pagar las facturas,"Limpiar la sala, cocina y baño",False,2024-06-05 18:52:25
289,Pagar las facturas,Compra los artículos de la lista,False,2024-01-27 18:52:25
290,Revisar el coche,Pagar las facturas de servicios públicos,True,2023-09-30 18:52:25
291,Limpiar la casa,Ir al gimnasio o hacer una rutina de ejercicios en casa,True,2024-01-07 18:52:25
292,Llamar al médico,Leer al menos un capítulo del libro,True,2023-11-05 18:52:25
293,Limpiar la casa,Leer al menos un capítulo del libro,True,2023-11-28 18:52:25
294,Enviar correo a Juan,Enviar un correo electrónico sobre el proyecto,False,2024-03-23 18:52:25
295,Pagar las facturas,"Limpiar la sala, cocina y baño",True,2024-02-20 18:52:25
296,Enviar correo a Juan,Preparar una cena saludable,True,2024-04-28 18:52:25
297,Hacer ejercicio,"Limpiar la sala, cocina y baño",True,2024-02-09 18:52:25
298,Cocinar la cena,Leer al menos un capítulo del libro,True,2024-04-04 18:52:25
299,Enviar correo a Juan,Leer al menos un capítulo del libro,True,2024-03-04 18:52:25
300,Enviar correo a Juan,Programa una cita para el chequeo anual,False,2023-09-05 18:52:25
301,Llamar al médico,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2023-09-26 18:52:25
302,Revisar el coche,Preparar una cena saludable,True,2023-10-04 18:52:25
303,Estudiar Angular,Pagar las facturas de servicios públicos,False,2023-07-24 18:52:25
304,Enviar correo a Juan,Llevar el coche al taller para revisión,False,2024-05-24 18:52:25
305,Revisar el coche,Leer al menos un capítulo del libro,True,2023-08-02 18:52:25
306,Revisar el coche,Enviar un correo electrónico sobre el proyecto,False,2023-07-24 18:52:25
307,Llamar al médico,Compra los artículos de la lista,True,2023-12-05 18:52:25
308,Llamar al médico,Revisar las últimas actualizaciones de Angular,True,2024-06-10 18:52:25
309,Pagar las facturas,Preparar una cena saludable,False,2023-06-27 18:52:25
310,Ir al supermercado,Programa una cita para el chequeo anual,True,2024-05-22 18:52:25
311,Revisar el coche,Leer al menos un capítulo del libro,False,2023-10-10 18:52:25
312,Revisar el coche,"Limpiar la sala, cocina y baño",True,2024-05-06 18:52:25
313,Pagar las facturas,Compra los artículos de la lista,True,2023-08-08 18:52:25
314,Hacer ejercicio,Leer al menos un capítulo del libro,False,2024-04-28 18:52:25
315,Llamar al médico,Leer al menos un capítulo del libro,True,2023-12-03 18:52:25
316,Llamar al médico,Pagar las facturas de servicios públicos,True,2023-06-18 18:52:25
317,Hacer ejercicio,Preparar una cena saludable,True,2024-02-16 18:52:25
318,Llamar al médico,Preparar una cena saludable,False,2024-05-15 18:52:25
319,Cocinar la cena,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2023-06-28 18:52:25
320,Leer un libro,Pagar las facturas de servicios públicos,False,2023-12-14 18:52:25
321,Pagar las facturas,Enviar un correo electrónico sobre el proyecto,False,2023-06-28 18:52:25
322,Estudiar Angular,Preparar una cena saludable,False,2023-11-12 18:52:25
323,Cocinar la cena,Llevar el coche al taller para revisión,True,2024-05-20 18:52:25
324,Revisar el coche,Preparar una cena saludable,False,2023-11-07 18:52:25
325,Revisar el coche,Preparar una cena saludable,True,2023-07-03 18:52:25
326,Estudiar Angular,Pagar las facturas de servicios públicos,True,2024-03-31 18:52:25
327,Cocinar la cena,Pagar las facturas de servicios públicos,False,2024-03-02 18:52:25
328,Leer un libro,"Limpiar la sala, cocina y baño",True,2023-12-18 18:52:25
329,Revisar el coche,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2024-06-01 18:52:25
330,Llamar al médico,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2024-05-03 18:52:25
331,Ir al supermercado,Programa una cita para el chequeo anual,True,2023-07-26 18:52:25
332,Cocinar la cena,Compra los artículos de la lista,True,2024-02-19 18:52:25
333,Pagar las facturas,Leer al menos un capítulo del libro,True,2024-05-03 18:52:25
334,Leer un libro,Pagar las facturas de servicios públicos,False,2024-05-18 18:52:25
335,Estudiar Angular,Llevar el coche al taller para revisión,False,2023-10-13 18:52:25
336,Hacer ejercicio,Revisar las últimas actualizaciones de Angular,False,2023-06-28 18:52:25
337,Hacer ejercicio,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2023-12-27 18:52:25
338,Cocinar la cena,Llevar el coche al taller para revisión,False,2024-05-10 18:52:25
339,Llamar al médico,Pagar las facturas de servicios públicos,False,2023-12-16 18:52:25
340,Llamar al médico,"Limpiar la sala, cocina y baño",False,2023-11-06 18:52:25
341,Limpiar la casa,"Limpiar la sala, cocina y baño",False,2024-05-24 18:52:25
342,Revisar el coche,Programa una cita para el chequeo anual,False,2024-03-14 18:52:25
343,Limpiar la casa,Programa una cita para el chequeo anual,False,2024-02-04 18:52:25
344,Estudiar Angular,Compra los artículos de la lista,False,2023-12-01 18:52:25
345,Limpiar la casa,"Limpiar la sala, cocina y baño",True,2023-07-05 18:52:25
346,Revisar el coche,Enviar un correo electrónico sobre el proyecto,False,2024-04-16 18:52:25
347,Cocinar la cena,Programa una cita para el chequeo anual,False,2024-05-07 18:52:25
348,Hacer ejercicio,Pagar las facturas de servicios públicos,False,2024-05-26 18:52:25
349,Leer un libro,"Limpiar la sala, cocina y baño",False,2023-06-14 18:52:25
350,Estudiar Angular,Compra los artículos de la lista,False,2023-10-23 18:52:25
351,Hacer ejercicio,Enviar un correo electrónico sobre el proyecto,False,2024-03-15 18:52:25
352,Revisar el coche,Leer al menos un capítulo del libro,False,2024-03-06 18:52:25
353,Hacer ejercicio,"Limpiar la sala, cocina y baño",True,2024-03-21 18:52:25
354,Cocinar la cena,Llevar el coche al taller para revisión,False,2023-12-21 18:52:25
355,Estudiar Angular,Ir al gimnasio o hacer una rutina de ejercicios en casa,True,2024-02-21 18:52:25
356,Ir al supermercado,Revisar las últimas actualizaciones de Angular,True,2023-08-15 18:52:25
357,Limpiar la casa,Compra los artículos de la lista,True,2023-11-30 18:52:25
358,Llamar al médico,Pagar las facturas de servicios públicos,False,2023-10-29 18:52:25
359,Ir al supermercado,Compra los artículos de la lista,True,2024-01-06 18:52:25
360,Estudiar Angular,Preparar una cena saludable,True,2024-06-03 18:52:25
361,Leer un libro,Programa una cita para el chequeo anual,True,2024-06-07 18:52:25
362,Leer un libro,Pagar las facturas de servicios públicos,False,2023-10-12 18:52:25
363,Cocinar la cena,"Limpiar la sala, cocina y baño",False,2023-09-01 18:52:25
364,Revisar el coche,Revisar las últimas actualizaciones de Angular,False,2023-07-12 18:52:25
365,Estudiar Angular,Pagar las facturas de servicios públicos,False,2024-01-04 18:52:25
366,Hacer ejercicio,Enviar un correo electrónico sobre el proyecto,False,2024-02-29 18:52:25
367,Enviar correo a Juan,"Limpiar la sala, cocina y baño",True,2023-11-20 18:52:25
368,Enviar correo a Juan,Enviar un correo electrónico sobre el proyecto,True,2024-03-20 18:52:25
369,Enviar correo a Juan,Preparar una cena saludable,True,2023-09-16 18:52:25
370,Limpiar la casa,Leer al menos un capítulo del libro,False,2023-11-19 18:52:25
371,Llamar al médico,Programa una cita para el chequeo anual,True,2023-08-30 18:52:25
372,Estudiar Angular,Compra los artículos de la lista,True,2024-02-07 18:52:25
373,Pagar las facturas,Enviar un correo electrónico sobre el proyecto,False,2023-07-21 18:52:25
374,Llamar al médico,Pagar las facturas de servicios públicos,True,2023-08-09 18:52:25
375,Limpiar la casa,Pagar las facturas de servicios públicos,True,2023-11-05 18:52:25
376,Limpiar la casa,Pagar las facturas de servicios públicos,True,2023-08-31 18:52:25
377,Cocinar la cena,Revisar las últimas actualizaciones de Angular,True,2024-05-19 18:52:25
378,Leer un libro,Ir al gimnasio o hacer una rutina de ejercicios en casa,True,2024-03-11 18:52:25
379,Leer un libro,"Limpiar la sala, cocina y baño",False,2024-04-14 18:52:25
380,Revisar el coche,Pagar las facturas de servicios públicos,False,2023-11-11 18:52:25
381,Cocinar la cena,Leer al menos un capítulo del libro,True,2023-10-06 18:52:25
382,Estudiar Angular,Revisar las últimas actualizaciones de Angular,True,2023-08-19 18:52:25
383,Pagar las facturas,Llevar el coche al taller para revisión,True,2023-12-26 18:52:25
384,Enviar correo a Juan,Enviar un correo electrónico sobre el proyecto,True,2024-05-18 18:52:25
385,Pagar las facturas,Llevar el coche al taller para revisión,False,2024-01-09 18:52:25
386,Llamar al médico,"Limpiar la sala, cocina y baño",True,2024-02-28 18:52:25
387,Enviar correo a Juan,Enviar un correo electrónico sobre el proyecto,False,2023-09-16 18:52:25
388,Pagar las facturas,Revisar las últimas actualizaciones de Angular,False,2023-07-23 18:52:25
389,Hacer ejercicio,Pagar las facturas de servicios públicos,False,2023-08-17 18:52:25
390,Hacer ejercicio,"Limpiar la sala, cocina y baño",False,2024-02-22 18:52:25
391,Hacer ejercicio,Programa una cita para el chequeo anual,True,2023-08-29 18:52:25
392,Revisar el coche,Compra los artículos de la lista,False,2024-02-07 18:52:25
393,Pagar las facturas,Preparar una cena saludable,True,2024-03-04 18:52:25
394,Limpiar la casa,Leer al menos un capítulo del libro,True,2024-05-25 18:52:25
395,Hacer ejercicio,Llevar el coche al taller para revisión,True,2023-07-11 18:52:25
396,Revisar el coche,Revisar las últimas actualizaciones de Angular,True,2023-11-24 18:52:25
397,Limpiar la casa,Llevar el coche al taller para revisión,False,2023-10-25 18:52:25
398,Limpiar la casa,Revisar las últimas actualizaciones de Angular,True,2024-01-23 18:52:25
399,Estudiar Angular,Revisar las últimas actualizaciones de Angular,False,2024-04-09 18:52:25
400,Enviar correo a Juan,Enviar un correo electrónico sobre el proyecto,True,2024-04-08 18:52:25
401,Revisar el coche,Pagar las facturas de servicios públicos,True,2023-12-03 18:52:25
402,Llamar al médico,Pagar las facturas de servicios públicos,True,2023-10-19 18:52:25
403,Llamar al médico,"Limpiar la sala, cocina y baño",True,2024-02-27 18:52:25
404,Ir al supermercado,"Limpiar la sala, cocina y baño",True,2023-08-09 18:52:25
405,Cocinar la cena,Leer al menos un capítulo del libro,False,2023-06-15 18:52:25
406,Pagar las facturas,"Limpiar la sala, cocina y baño",True,2023-06-23 18:52:25
407,Estudiar Angular,Preparar una cena saludable,True,2023-06-28 18:52:25
408,Enviar correo a Juan,Pagar las facturas de servicios públicos,True,2024-04-02 18:52:25
409,Limpiar la casa,Llevar el coche al taller para revisión,False,2023-12-07 18:52:25
410,Leer un libro,Revisar las últimas actualizaciones de Angular,True,2024-03-21 18:52:25
411,Cocinar la cena,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2024-05-23 18:52:25
412,Enviar correo a Juan,Leer al menos un capítulo del libro,False,2023-09-21 18:52:25
413,Revisar el coche,Programa una cita para el chequeo anual,True,2024-01-09 18:52:25
414,Estudiar Angular,"Limpiar la sala, cocina y baño",False,2023-10-03 18:52:25
415,Ir al supermercado,Llevar el coche al taller para revisión,False,2023-12-25 18:52:25
416,Hacer ejercicio,Programa una cita para el chequeo anual,False,2024-03-29 18:52:25
417,Ir al supermercado,Programa una cita para el chequeo anual,False,2024-05-22 18:52:25
418,Ir al supermercado,Pagar las facturas de servicios públicos,False,2023-12-26 18:52:25
419,Limpiar la casa,"Limpiar la sala, cocina y baño",True,2024-06-06 18:52:25
420,Ir al supermercado,Llevar el coche al taller para revisión,True,2023-10-07 18:52:25
421,Leer un libro,Pagar las facturas de servicios públicos,True,2023-08-20 18:52:25
422,Leer un libro,Programa una cita para el chequeo anual,False,2024-04-07 18:52:25
423,Pagar las facturas,Programa una cita para el chequeo anual,True,2024-03-23 18:52:25
424,Enviar correo a Juan,Preparar una cena saludable,False,2024-04-27 18:52:25
425,Revisar el coche,"Limpiar la sala, cocina y baño",False,2023-10-27 18:52:25
426,Cocinar la cena,Revisar las últimas actualizaciones de Angular,False,2023-12-04 18:52:25
427,Estudiar Angular,Ir al gimnasio o hacer una rutina de ejercicios en casa,True,2023-12-11 18:52:25
428,Revisar el coche,Enviar un correo electrónico sobre el proyecto,True,2023-12-23 18:52:25
429,Cocinar la cena,Preparar una cena saludable,False,2023-11-07 18:52:25
430,Limpiar la casa,Programa una cita para el chequeo anual,False,2023-09-02 18:52:25
431,Ir al supermercado,Programa una cita para el chequeo anual,False,2024-02-22 18:52:25
432,Limpiar la casa,Pagar las facturas de servicios públicos,True,2023-10-26 18:52:25
433,Cocinar la cena,Llevar el coche al taller para revisión,True,2024-03-28 18:52:25
434,Enviar correo a Juan,Programa una cita para el chequeo anual,False,2024-01-16 18:52:25
435,Revisar el coche,Programa una cita para el chequeo anual,False,2023-12-02 18:52:25
436,Llamar al médico,Leer al menos un capítulo del libro,False,2023-08-25 18:52:25
437,Estudiar Angular,Preparar una cena saludable,False,2023-06-20 18:52:25
438,Hacer ejercicio,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2023-08-10 18:52:25
439,Limpiar la casa,Compra los artículos de la lista,False,2024-05-12 18:52:25
440,Enviar correo a Juan,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2024-01-03 18:52:25
441,Cocinar la cena,Preparar una cena saludable,True,2024-03-05 18:52:25
442,Leer un libro,Pagar las facturas de servicios públicos,True,2023-10-20 18:52:25
443,Estudiar Angular,Programa una cita para el chequeo anual,False,2024-06-04 18:52:25
444,Leer un libro,"Limpiar la sala, cocina y baño",True,2023-11-17 18:52:25
445,Enviar correo a Juan,Revisar las últimas actualizaciones de Angular,True,2023-06-13 18:52:25
446,Leer un libro,"Limpiar la sala, cocina y baño",True,2023-09-01 18:52:25
447,Hacer ejercicio,Programa una cita para el chequeo anual,True,2023-09-14 18:52:25
448,Cocinar la cena,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2023-06-18 18:52:25
449,Estudiar Angular,Preparar una cena saludable,False,2023-08-12 18:52:25
450,Leer un libro,Leer al menos un capítulo del libro,True,2024-05-01 18:52:25
451,Hacer ejercicio,Compra los artículos de la lista,False,2023-12-31 18:52:25
452,Revisar el coche,Llevar el coche al taller para revisión,True,2024-01-19 18:52:25
453,Cocinar la cena,Compra los artículos de la lista,True,2023-07-03 18:52:25
454,Hacer ejercicio,Preparar una cena saludable,True,2024-01-21 18:52:25
455,Estudiar Angular,Compra los artículos de la lista,True,2023-08-18 18:52:25
456,Leer un libro,Pagar las facturas de servicios públicos,True,2023-11-07 18:52:25
457,Enviar correo a Juan,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2023-07-11 18:52:25
458,Leer un libro,Pagar las facturas de servicios públicos,True,2024-06-07 18:52:25
459,Enviar correo a Juan,Enviar un correo electrónico sobre el proyecto,False,2023-09-17 18:52:25
460,Limpiar la casa,Preparar una cena saludable,False,2024-02-15 18:52:25
461,Revisar el coche,Compra los artículos de la lista,True,2024-05-20 18:52:25
462,Revisar el coche,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2023-08-03 18:52:25
463,Estudiar Angular,Programa una cita para el chequeo anual,False,2023-08-30 18:52:25
464,Cocinar la cena,"Limpiar la sala, cocina y baño",True,2023-08-12 18:52:25
465,Revisar el coche,Llevar el coche al taller para revisión,True,2024-06-03 18:52:25
466,Estudiar Angular,Pagar las facturas de servicios públicos,False,2024-02-02 18:52:25
467,Estudiar Angular,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2023-08-31 18:52:25
468,Cocinar la cena,Pagar las facturas de servicios públicos,True,2024-05-15 18:52:25
469,Pagar las facturas,Leer al menos un capítulo del libro,False,2023-11-09 18:52:25
470,Ir al supermercado,Revisar las últimas actualizaciones de Angular,False,2024-01-08 18:52:25
471,Estudiar Angular,Compra los artículos de la lista,True,2024-01-02 18:52:25
472,Pagar las facturas,Compra los artículos de la lista,False,2024-03-10 18:52:25
473,Ir al supermercado,Leer al menos un capítulo del libro,True,2024-06-06 18:52:25
474,Ir al supermercado,"Limpiar la sala, cocina y baño",False,2023-09-11 18:52:25
475,Estudiar Angular,Enviar un correo electrónico sobre el proyecto,True,2023-06-26 18:52:25
476,Llamar al médico,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2023-07-17 18:52:25
477,Ir al supermercado,"Limpiar la sala, cocina y baño",False,2024-04-25 18:52:25
478,Enviar correo a Juan,Revisar las últimas actualizaciones de Angular,False,2024-05-20 18:52:25
479,Leer un libro,"Limpiar la sala, cocina y baño",False,2024-05-31 18:52:25
480,Revisar el coche,Compra los artículos de la lista,False,2023-11-16 18:52:25
481,Cocinar la cena,Leer al menos un capítulo del libro,False,2024-04-04 18:52:25
482,Llamar al médico,"Limpiar la sala, cocina y baño",True,2024-03-10 18:52:25
483,Limpiar la casa,Revisar las últimas actualizaciones de Angular,True,2023-12-30 18:52:25
484,Estudiar Angular,Leer al menos un capítulo del libro,False,2023-07-02 18:52:25
485,Hacer ejercicio,Leer al menos un capítulo del libro,True,2023-08-21 18:52:25
486,Cocinar la cena,"Limpiar la sala, cocina y baño",False,2024-04-29 18:52:25
487,Revisar el coche,Llevar el coche al taller para revisión,False,2023-08-13 18:52:25
488,Llamar al médico,Preparar una cena saludable,True,2023-08-26 18:52:25
489,Pagar las facturas,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2023-07-17 18:52:25
490,Limpiar la casa,"Limpiar la sala, cocina y baño",True,2023-12-17 18:52:25
491,Pagar las facturas,Revisar las últimas actualizaciones de Angular,True,2023-12-11 18:52:25
492,Revisar el coche,"Limpiar la sala, cocina y baño",True,2023-09-07 18:52:25
493,Leer un libro,Llevar el coche al taller para revisión,False,2023-09-02 18:52:25
494,Ir al supermercado,Enviar un correo electrónico sobre el proyecto,False,2023-11-20 18:52:25
495,Limpiar la casa,Compra los artículos de la lista,False,2024-02-08 18:52:25
496,Llamar al médico,Revisar las últimas actualizaciones de Angular,True,2023-08-28 18:52:25
497,Llamar al médico,Leer al menos un capítulo del libro,False,2023-07-08 18:52:25
498,Limpiar la casa,Pagar las facturas de servicios públicos,True,2023-07-19 18:52:25
499,Estudiar Angular,Enviar un correo electrónico sobre el proyecto,True,2024-06-09 18:52:25
500,Estudiar Angular,Preparar una cena saludable,True,2023-11-19 18:52:25
501,Cocinar la cena,Revisar las últimas actualizaciones de Angular,False,2023-12-29 18:52:25
